Articolo;Prezzo 1 (€);Qt min 2;Prezzo 2 (€);Qt min 3;Prezzo 3 (€);Qt min 4;Prezzo 4 (€);Qt min 5;Prezzo 5 (€);Qt min 6;Prezzo 6 (€);Prezzo minimo;Cod transfert;
20VERT481;2.65;6.00;2.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
30X60NTPERLA;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
339;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
50712;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
50712-ICC;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
51712;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
51712-ICC;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
52712;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
52712-ICC;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
53712;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
53712-ICC;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
54712;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
54712-ICC;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
55712;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
55712-ICC;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
56712;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
56712-ICC;1.30;6.00;0.90;21.00;0.56;101.00;0.42;0.00;0.00;0.00;0.00;0.00;TRFLUTTI;
60723;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
61723;1.62;6.00;1.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFINGRANDIMENTI;
917A;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TRFYOUONTV;
